sample_index,timestamp_us,slot0_raw,slot1_raw,finger_contact,fifo_ok,fifo_overflow_count
2284,91918374,35488,52489,-1,1,0
2285,91958374,35506,52535,-1,1,0
2286,91998374,35523,52608,-1,1,0
2287,92038374,35547,52677,-1,1,0
2288,92078374,35557,52745,-1,1,0
2289,92118374,35518,52567,-1,1,0
2290,92158374,35404,52192,-1,1,0
2291,92198374,35370,52060,-1,1,0
2292,92238374,35387,52097,-1,1,0
2293,92278374,35401,52163,-1,1,0
2294,92318374,35435,52292,-1,1,0
2295,92358374,35505,52479,-1,1,0
2296,92398374,35538,52588,-1,1,0
2297,92438374,35555,52612,-1,1,0
2298,92478374,35569,52676,-1,1,0
2299,92518374,35611,52802,-1,1,0
2300,92558374,35645,52949,-1,1,0
2301,92598374,35673,53054,-1,1,0
2302,92638374,35699,53122,-1,1,0
2303,92678374,35725,53181,-1,1,0
2304,92718374,35734,53228,-1,1,0
2305,92758374,35759,53306,-1,1,0
2306,92798374,35779,53363,-1,1,0
2307,92838374,35744,53230,-1,1,0
2308,92878374,35666,52954,-1,1,0
2309,92918374,35667,52918,-1,1,0
2310,92958374,35702,53022,-1,1,0
2311,92998374,35732,53120,-1,1,0
2312,93038374,35761,53226,-1,1,0
2313,93078374,35783,53300,-1,1,0
2314,93118374,35796,53326,-1,1,0
2315,93158374,35803,53344,-1,1,0
2316,93198374,35817,53385,-1,1,0
2317,93238374,35839,53473,-1,1,0
2318,93278374,35860,53543,-1,1,0
2319,93318374,35883,53615,-1,1,0
2320,93358374,35907,53694,-1,1,0
2321,93398374,35920,53747,-1,1,0
2322,93438374,35947,53817,-1,1,0
2323,93478374,35957,53844,-1,1,0
2324,93518374,35902,53657,-1,1,0
2325,93558374,35856,53472,-1,1,0
2326,93598374,35870,53480,-1,1,0
2327,93638374,35880,53545,-1,1,0
2328,93678374,35896,53613,-1,1,0
2329,93718374,35911,53677,-1,1,0
2330,93758374,35922,53696,-1,1,0
2331,93798374,35904,53671,-1,1,0
2332,93838374,35903,53671,-1,1,0
2333,93878374,35905,53684,-1,1,0
2334,93918374,35908,53700,-1,1,0
2335,93958374,35903,53727,-1,1,0
2336,93998374,35907,53756,-1,1,0
2337,94038374,35914,53761,-1,1,0
2338,94078374,35916,53775,-1,1,0
2339,94118374,35901,53757,-1,1,0
2340,94158374,35836,53514,-1,1,0
2341,94198374,35745,53222,-1,1,0
2342,94238374,35738,53188,-1,1,0
2343,94278374,35756,53268,-1,1,0
2344,94318374,35767,53326,-1,1,0
2345,94358374,35776,53386,-1,1,0
2346,94398374,35793,53416,-1,1,0
2347,94438374,35777,53385,-1,1,0
2348,94478374,35776,53378,-1,1,0
2349,94518374,35775,53409,-1,1,0
2350,94558374,35782,53434,-1,1,0
2351,94598374,35773,53444,-1,1,0
2352,94638374,35777,53484,-1,1,0
2353,94678374,35788,53500,-1,1,0
2354,94718374,35794,53529,-1,1,0
2355,94758374,35803,53530,-1,1,0
2356,94798374,35733,53281,-1,1,0
2357,94838374,35646,52978,-1,1,0
2358,94878374,35609,52911,-1,1,0
2359,94918374,35637,52956,-1,1,0
2360,94958374,35634,52974,-1,1,0
2361,94998374,35641,53026,-1,1,0
2362,95038374,35642,53056,-1,1,0
2363,95078374,35647,53032,-1,1,0
2364,95118374,35634,53006,-1,1,0
2365,95158374,35643,53020,-1,1,0
2366,95198374,35655,53075,-1,1,0
2367,95238374,35656,53093,-1,1,0
2368,95278374,35656,53128,-1,1,0
2369,95318374,35676,53151,-1,1,0
2370,95358374,35673,53178,-1,1,0
