time_s,sample_index,timestamp_us,slot0_raw,slot1_raw,finger_contact,fifo_ok,fifo_overflow_count,slot0_dc,slot0_ac,slot1_dc,slot1_ac,slot0_peak,slot1_peak
5.48,1863,75078374,36132,53059,-1,1,0,36243.60144156849,-113.85082129787146,53397.27225076671,-352.2477822811835,0,0
5.52,1864,75118374,36154,53104,-1,1,0,36242.20531511242,-91.51203992635942,53400.117850573966,-297.3783580198547,0,0
5.56,1865,75158374,36169,53177,-1,1,0,36241.42963697403,-66.46570891654778,53404.57252999212,-215.93355812863302,0,0
5.6,1866,75198374,36204,53291,-1,1,0,36241.29527845781,-40.295069031981186,53410.6920689524,-127.53826686192005,0,0
5.64,1867,75238374,36215,53331,-1,1,0,36241.80626818836,-28.29055834709503,53418.47812419259,-88.96088899216981,0,0
5.68,1868,75278374,36205,53324,-1,1,0,36242.95493290457,-32.47154641004248,53427.895088691366,-93.81444418752768,0,0
5.72,1869,75318374,36216,53365,-1,1,0,36244.72477849383,-34.19839329826821,53438.88039633428,-79.87746390617158,0,0
5.76,1870,75358374,36222,53419,-1,1,0,36247.09128517163,-21.07828765241682,53451.34921949811,-31.022812364314902,0,0
5.8,1871,75398374,36255,53493,-1,1,0,36250.022939637645,8.364495823583766,53465.200311691144,44.238979326400454,0,0
5.84,1872,75438374,36283,53586,-1,1,0,36253.48424932242,22.984331187404415,53480.32652531066,87.91820307473456,0,0
5.88,1873,75478374,36260,53550,-1,1,0,36257.44005687487,9.701774247758038,53496.62760011115,70.90248008893062,0,0
5.92,1874,75518374,36272,53590,-1,1,0,36261.8582177496,10.855027125095283,53514.01898062422,80.87178355421165,0,0
5.96,1875,75558374,36307,53694,-1,1,0,36266.71002267016,37.302257410378296,53532.435480157714,150.79863612021245,0,0
6.0,1876,75598374,36327,53750,-1,1,0,36271.97172582679,59.6362753939502,53551.83728552775,217.80803440052705,1,1
6.04,1877,75638374,36333,53771,-1,1,0,36277.62836087953,56.52697096933183,53572.22090325621,194.06610303651686,0,0
6.08,1878,75678374,36295,53606,-1,1,0,36283.67646605226,5.856872394631971,53593.6254359726,-1.1024206944294193,0,0
6.12,1879,75718374,36214,53338,-1,1,0,36290.12138181947,-69.89263210975534,53616.12004132062,-253.79052212405935,0,0
6.16,1880,75758374,36189,53288,-1,1,0,36296.96738329518,-108.40192603071381,53639.767661199105,-365.6969639342502,0,0
6.2,1881,75798374,36207,53325,-1,1,0,36304.204877457945,-103.254524478327,53664.581616139476,-347.08147670522163,0,0
6.24,1882,75838374,36227,53413,-1,1,0,36311.802107826414,-77.60260934513026,53690.4992921661,-263.8362819772135,0,0
6.28,1883,75878374,36286,53591,-1,1,0,36319.70437819766,-38.425335556832565,53717.38037784763,-137.13837439037627,0,0
6.32,1884,75918374,36321,53699,-1,1,0,36327.839017406804,-7.245818550759239,53745.02304008687,-50.10134310264897,0,0
6.36,1885,75958374,36338,53738,-1,1,0,36336.12294902127,5.617928802114733,53773.18741786794,-25.12788951591625,0,0
6.4,1886,75998374,36358,53810,-1,1,0,36344.4693423742,9.795885129766674,53801.614981637314,0.11456898650976655,0,0
6.44,1887,76038374,36361,53863,-1,1,0,36352.79156316192,10.04081458332736,53830.04007147863,37.472417259035126,0,0
6.48,1888,76078374,36377,53935,-1,1,0,36361.00502457602,18.49618968881189,53858.1981583599,78.22075791314671,0,0
6.52,1889,76118374,36410,54011,-1,1,0,36369.02843320435,37.74809342904287,53885.83456021777,127.11832459136829,0,0
6.56,1890,76158374,36424,54077,-1,1,0,36376.786033170545,52.193753621266175,53912.71443014072,167.353661741425,0,0
6.6,1891,76198374,36444,54124,-1,1,0,36384.210946947234,56.377750364807554,53938.633217528164,185.4055964898612,0,0
6.64,1892,76238374,36451,54173,-1,1,0,36391.24823700361,62.69968106368481,53963.42576401382,212.48171271489215,0,0
6.68,1893,76278374,36477,54254,-1,1,0,36397.85717197216,80.817981748439,53986.97391194689,274.4441700531996,0,0
6.72,1894,76318374,36490,54294,-1,1,0,36404.013431529245,83.39289508447688,54009.21459298707,281.24651323918476,1,1
6.76,1895,76358374,36445,54155,-1,1,0,36409.7107585623,36.04835636026284,54030.14568359973,118.07099438748972,0,0
6.8,1896,76398374,36384,53925,-1,1,0,36414.95860198694,-31.820092556045985,54049.81771952956,-115.4316873654816,0,0
6.84,1897,76438374,36357,53858,-1,1,0,36419.77343328201,-60.49424655931996,54068.30388773398,-212.53156856340212,0,0
6.88,1898,76478374,36383,53925,-1,1,0,36424.16779335523,-46.460050315791406,54085.66223098,-170.13287382667184,0,0
6.92,1899,76518374,36399,53989,-1,1,0,36428.14389803054,-27.513258452030136,54101.913317792,-113.79358530306229,0,0
6.96,1900,76558374,36418,54045,-1,1,0,36431.693632917246,-16.50299712500163,54117.039272661685,-71.39048816390846,0,0
7.0,1901,76598374,36426,54106,-1,1,0,36434.80158425235,-7.720753790789509,54130.99333521559,-32.74969349982655,0,0
7.04,1902,76638374,36434,54116,-1,1,0,36437.44797386247,-8.07018780628057,54143.71037875599,-29.75957149243226,0,0
7.08,1903,76678374,36422,54109,-1,1,0,36439.61038934599,-16.37573234388848,54155.114184010534,-51.04327441839795,0,0
7.12,1904,76718374,36432,54132,-1,1,0,36441.264079203545,-11.059888151911863,54165.11982274571,-31.0061196850356,0,0
7.16,1905,76758374,36453,54218,-1,1,0,36442.38186822338,10.63286809750326,54173.63452290553,38.74636082004913,0,0
7.2,1906,76798374,36473,54285,-1,1,0,36442.935689114405,25.920006833931858,54180.563491483386,100.02221884708436,0,0
7.24,1907,76838374,36471,54315,-1,1,0,36442.89994068533,31.787779085961652,54185.821877051465,134.2781786516274,0,0
7.28,1908,76878374,36485,54357,-1,1,0,36442.254799080205,39.251801569857875,54189.347629917465,160.27667868431033,0,0
7.32,1909,76918374,36492,54387,-1,1,0,36440.98861069064,48.472999861852685,54191.11166036574,191.88535425610576,0,0
7.36,1910,76958374,36497,54418,-1,1,0,36439.100076453644,63.771292990398564,54191.126202314044,239.45833257521866,0,1
7.4,1911,76998374,36509,54425,-1,1,0,36436.600574868455,64.91080072620656,54189.45234434966,216.9105807835054,1,0
7.44,1912,77038374,36454,54222,-1,1,0,36433.51565237948,19.713802296517223,54186.20272891162,32.904563146491085,0,0
7.48,1913,77078374,36391,53994,-1,1,0,36429.882763923546,-34.46868386236728,54181.52873437206,-176.60171923485868,0,0
7.52,1914,77118374,36381,53947,-1,1,0,36425.74359676161,-50.99306049702048,54175.5880868284,-245.89204229868463,0,0
7.56,1915,77158374,36373,53954,-1,1,0,36421.1350427281,-49.22364354105727,54168.50913062473,-216.7098954756576,0,0
7.6,1916,77198374,36369,53998,-1,1,0,36416.08391719734,-45.21527181279884,54160.37154197993,-162.9889382207751,0,0
7.64,1917,77238374,36385,54060,-1,1,0,36410.605745199246,-31.137653325878695,54151.20596277287,-99.41266430458836,0,0
7.68,1918,77278374,36387,54088,-1,1,0,36404.706025692765,-14.462797714549716,54141.00419942601,-55.306607901989146,0,0
7.72,1919,77318374,36398,54094,-1,1,0,36398.38302989448,-6.017006758575377,54129.73206582005,-39.53111994780237,0,0
7.76,1920,77358374,36387,54101,-1,1,0,36391.630925532416,-1.4707686871027832,54117.3396377255,-18.64617381559146,0,0
7.8,1921,77398374,36397,54134,-1,1,0,36384.44224001196,9.541582153677082,54103.76833066924,29.68273489088559,0,0
7.84,1922,77438374,36401,54181,-1,1,0,36376.80992999525,24.767621204293356,54088.958291057716,88.67646262375231,0,0
7.88,1923,77478374,36406,54204,-1,1,0,36368.72993639023,36.01973432439065,54072.85874646315,132.13975310329943,0,0
7.92,1924,77518374,36403,54217,-1,1,0,36360.20419485953,43.99456241680877,54055.43996570362,160.59294739554298,0,0
7.96,1925,77558374,36408,54236,-1,1,0,36351.24342878533,53.56793666842567,54036.7040354559,197.2180964956588,0,0
8.0,1926,77598374,36408,54274,-1,1,0,36341.8696925196,69.65561655771789,54016.69441250075,260.172273939619,0,0
8.04,1927,77638374,36413,54288,-1,1,0,36332.11905360153,78.12283103907,53995.506176987736,294.35444072439265,1,1
8.08,1928,77678374,36369,54160,-1,1,0,36322.04382837825,45.24860925339217,53973.29487509019,173.96030681621886,0,0
8.12,1929,77718374,36287,53862,-1,1,0,36311.71152588245,-24.132065033650548,53950.273115504766,-85.47240306712337,0,0
8.16,1930,77758374,36221,53639,-1,1,0,36301.19736914418,-80.86642572430205,53926.68338125534,-280.8458665586495,0,0
8.2,1931,77798374,36193,53599,-1,1,0,36290.57191336989,-100.3044972910235,53902.75335226585,-323.43492077189154,0,0
8.24,1932,77838374,36189,53585,-1,1,0,36279.889822689176,-91.7864573388565,53878.6574198393,-289.3056845777245,0,0
8.28,1933,77878374,36203,53643,-1,1,0,36269.18444244862,-65.58472916062675,53854.50029034732,-211.64476298936833,0,0
8.32,1934,77918374,36225,53721,-1,1,0,36258.46853005059,-37.28197615734299,53830.32055268625,-119.62812643243353,0,0
